Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable),Room Category,Community
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103‐1,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103‐2,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103‐3,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,BARBOUR 203‐1,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,BARBOUR 203‐2,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,BARBOUR 203‐3,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 3,BARBOUR 301,BARBOUR 301,BARBOUR 301‐2,Double,,Male,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 3,BARBOUR 303,BARBOUR 303,BARBOUR 303‐1,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 3,BARBOUR 303,BARBOUR 303,BARBOUR 303‐2,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 3,BARBOUR 303,BARBOUR 303,BARBOUR 303‐3,Triple,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 1,DIMAN 115,DIMAN 115,DIMAN 115‐1,Triple,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 1,DIMAN 115,DIMAN 115,DIMAN 115‐2,Triple,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 1,DIMAN 115,DIMAN 115,DIMAN 115‐3,Triple,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 2,DIMAN 231,DIMAN 231,DIMAN 231‐2,Double,,Female,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 2,GRADCTR B 230,GRADCTR B 230 235,GRADCTR B 230 235‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 2,GRADCTR B 240,GRADCTR B 240 242,GRADCTR B 240 242‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 4,GRADCTR B 430,GRADCTR B 430 433,GRADCTR B 430 433‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 5,GRADCTR B 520,GRADCTR B 520 523,GRADCTR B 520 523‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 5,GRADCTR B 520,GRADCTR B 520 524,GRADCTR B 520 524‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 6,GRADCTR B 610,GRADCTR B 610 613,GRADCTR B 610 613‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 6,GRADCTR B 610,GRADCTR B 610 615,GRADCTR B 610 615‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 6,GRADCTR B 610,GRADCTR B 610 616,GRADCTR B 610 616‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 6,GRADCTR B 640,GRADCTR B 640 644,GRADCTR B 640 644‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 6,GRADCTR B 640,GRADCTR B 640 645,GRADCTR B 640 645‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 1,GRADCTR D 140,GRADCTR D 140 143,GRADCTR D 140 143‐1,Single (Suite/Apartment),4.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 1,GRADCTR D 140,GRADCTR D 140 145,GRADCTR D 140 145‐1,Single (Suite/Apartment),4.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 210,GRADCTR D 210 212,GRADCTR D 210 212‐1,Single (Suite/Apartment),4.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 220,GRADCTR D 220 226,GRADCTR D 220 226‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 230,GRADCTR D 230 235,GRADCTR D 230 235‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 240,GRADCTR D 240 243,GRADCTR D 240 243‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 240,GRADCTR D 240 245,GRADCTR D 240 245‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 240,GRADCTR D 240 246,GRADCTR D 240 246‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 3,GRADCTR D 310,GRADCTR D 310 311,GRADCTR D 310 311‐1,Single (Suite/Apartment),5.0,Male,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 3,GRADCTR D 310,GRADCTR D 310 312,GRADCTR D 310 312‐1,Single (Suite/Apartment),5.0,Male,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 3,GRADCTR D 310,GRADCTR D 310 314,GRADCTR D 310 314‐1,Single (Suite/Apartment),5.0,Male,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 3,GRADCTR D 310,GRADCTR D 310 315,GRADCTR D 310 315‐1,Single (Suite/Apartment),5.0,Male,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 3,GRADCTR D 320,GRADCTR D 320 325,GRADCTR D 320 325‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 3,GRADCTR D 320,GRADCTR D 320 326,GRADCTR D 320 326‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 3,GRADCTR D 330,GRADCTR D 330 334,GRADCTR D 330 334‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 4,GRADCTR D 430,GRADCTR D 430 432,GRADCTR D 430 432‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 4,GRADCTR D 430,GRADCTR D 430 433,GRADCTR D 430 433‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 4,GRADCTR D 430,GRADCTR D 430 434,GRADCTR D 430 434‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 5,GRADCTR D 520,GRADCTR D 520 525,GRADCTR D 520 525‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 502,GREG A 502,GREG A 502‐1,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 502,GREG A 502,GREG A 502‐2,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 502,GREG A 502,GREG A 502‐3,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 503,GREG A 503,GREG A 503‐1,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 503,GREG A 503,GREG A 503‐2,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 503,GREG A 503,GREG A 503‐3,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 506,GREG A 506,GREG A 506‐1,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 506,GREG A 506,GREG A 506‐2,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 506,GREG A 506,GREG A 506‐3,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 509,GREG A 509,GREG A 509‐1,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 509,GREG A 509,GREG A 509‐2,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 509,GREG A 509,GREG A 509‐3,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 511,GREG A 511,GREG A 511‐1,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 511,GREG A 511,GREG A 511‐2,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 511,GREG A 511,GREG A 511‐3,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 6,GREG A 605,GREG A 605,GREG A 605‐1,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 6,GREG A 605,GREG A 605,GREG A 605‐2,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 6,GREG A 605,GREG A 605,GREG A 605‐3,Triple,,CoEd,Spring General Housing Selection
NEW PEMBROKE 3,NEWPEM 3 FL 1,NEWPEM 3 117,NEWPEM 3 117,NEWPEM 3 117‐1,Double,,CoEd,Spring General Housing Selection
NEW PEMBROKE 3,NEWPEM 3 FL 1,NEWPEM 3 117,NEWPEM 3 117,NEWPEM 3 117‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 115,PERKINS 115,PERKINS 115‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 115,PERKINS 115,PERKINS 115‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 116,PERKINS 116,PERKINS 116‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 116,PERKINS 116,PERKINS 116‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 117,PERKINS 117,PERKINS 117‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 117,PERKINS 117,PERKINS 117‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 119,PERKINS 119,PERKINS 119‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 119,PERKINS 119,PERKINS 119‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 122,PERKINS 122,PERKINS 122‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 122,PERKINS 122,PERKINS 122‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 124,PERKINS 124,PERKINS 124‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 124,PERKINS 124,PERKINS 124‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 125,PERKINS 125,PERKINS 125‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 125,PERKINS 125,PERKINS 125‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 127,PERKINS 127,PERKINS 127‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 127,PERKINS 127,PERKINS 127‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 129,PERKINS 129,PERKINS 129‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 129,PERKINS 129,PERKINS 129‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 130,PERKINS 130,PERKINS 130‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 130,PERKINS 130,PERKINS 130‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 132,PERKINS 132,PERKINS 132‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 132,PERKINS 132,PERKINS 132‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 137,PERKINS 137,PERKINS 137‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 137,PERKINS 137,PERKINS 137‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 138,PERKINS 138,PERKINS 138‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 138,PERKINS 138,PERKINS 138‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 139,PERKINS 139,PERKINS 139‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 139,PERKINS 139,PERKINS 139‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 2,PERKINS 227,PERKINS 227,PERKINS 227‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 2,PERKINS 227,PERKINS 227,PERKINS 227‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 2,PERKINS 237,PERKINS 237,PERKINS 237‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 2,PERKINS 237,PERKINS 237,PERKINS 237‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 2,PERKINS 238,PERKINS 238,PERKINS 238‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 2,PERKINS 238,PERKINS 238,PERKINS 238‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 2,PERKINS 239,PERKINS 239,PERKINS 239‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 2,PERKINS 239,PERKINS 239,PERKINS 239‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 2,PERKINS 241,PERKINS 241,PERKINS 241‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 2,PERKINS 241,PERKINS 241,PERKINS 241‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 2,PERKINS 242,PERKINS 242,PERKINS 242‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 2,PERKINS 242,PERKINS 242,PERKINS 242‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 2,PERKINS 243,PERKINS 243,PERKINS 243‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 2,PERKINS 243,PERKINS 243,PERKINS 243‐2,Double,,CoEd,Spring General Housing Selection
WAYLAND HOUSE,WAYLAND FL 1 N,WAYLAND 120,WAYLAND 120,WAYLAND 120‐1,Triple,,CoEd,Spring General Housing Selection
WAYLAND HOUSE,WAYLAND FL 1 N,WAYLAND 120,WAYLAND 120,WAYLAND 120‐2,Triple,,CoEd,Spring General Housing Selection
WAYLAND HOUSE,WAYLAND FL 1 N,WAYLAND 120,WAYLAND 120,WAYLAND 120‐3,Triple,,CoEd,Spring General Housing Selection
WAYLAND HOUSE,WAYLAND FL 2,WAYLAND 243,WAYLAND 243,WAYLAND 243‐2,Double,,Male,Spring General Housing Selection
