Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable),Room Category,Community
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103‐1,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103‐2,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103‐3,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,BARBOUR 203‐1,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,BARBOUR 203‐2,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,BARBOUR 203‐3,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 3,BARBOUR 301,BARBOUR 301,BARBOUR 301‐2,Double,,Male,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 3,BARBOUR 303,BARBOUR 303,BARBOUR 303‐1,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 3,BARBOUR 303,BARBOUR 303,BARBOUR 303‐2,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 3,BARBOUR 303,BARBOUR 303,BARBOUR 303‐3,Triple,,CoEd,Spring General Housing Selection
BUXTON HOUSE,BUXTON FL 1,BUXTON 101,BUXTON 101,BUXTON 101‐1,Double,,CoEd,Spring General Housing Selection
BUXTON HOUSE,BUXTON FL 1,BUXTON 101,BUXTON 101,BUXTON 101‐2,Double,,CoEd,Spring General Housing Selection
BUXTON HOUSE,BUXTON FL 1,BUXTON 102,BUXTON 102,BUXTON 102‐1,Double,,CoEd,Spring General Housing Selection
BUXTON HOUSE,BUXTON FL 1,BUXTON 102,BUXTON 102,BUXTON 102‐2,Double,,CoEd,Spring General Housing Selection
BUXTON HOUSE,BUXTON FL 2,BUXTON 219,BUXTON 219,BUXTON 219‐1,Double,,CoEd,Spring General Housing Selection
BUXTON HOUSE,BUXTON FL 2,BUXTON 219,BUXTON 219,BUXTON 219‐2,Double,,CoEd,Spring General Housing Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 301,BUXTON 301,BUXTON 301‐1,Double,,CoEd,Spring General Housing Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 301,BUXTON 301,BUXTON 301‐2,Double,,CoEd,Spring General Housing Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 302,BUXTON 302,BUXTON 302‐1,Double,,CoEd,Spring General Housing Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 302,BUXTON 302,BUXTON 302‐2,Double,,CoEd,Spring General Housing Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 316B,BUXTON 316B,BUXTON 316B‐1,Single,,CoEd,Spring General Housing Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 320,BUXTON 320,BUXTON 320‐1,Double,,CoEd,Spring General Housing Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 320,BUXTON 320,BUXTON 320‐2,Double,,CoEd,Spring General Housing Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 302,CHAPIN 302,CHAPIN 302‐1,Double,,CoEd,Spring General Housing Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 302,CHAPIN 302,CHAPIN 302‐2,Double,,CoEd,Spring General Housing Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 313,CHAPIN 313,CHAPIN 313‐1,Double,,CoEd,Spring General Housing Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 313,CHAPIN 313,CHAPIN 313‐2,Double,,CoEd,Spring General Housing Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 314,CHAPIN 314,CHAPIN 314‐1,Double,,CoEd,Spring General Housing Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 314,CHAPIN 314,CHAPIN 314‐2,Double,,CoEd,Spring General Housing Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 317,CHAPIN 317,CHAPIN 317‐1,Double,,CoEd,Spring General Housing Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 317,CHAPIN 317,CHAPIN 317‐2,Double,,CoEd,Spring General Housing Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 323,CHAPIN 323,CHAPIN 323‐1,Double,,CoEd,Spring General Housing Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 323,CHAPIN 323,CHAPIN 323‐2,Double,,CoEd,Spring General Housing Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 329,CHAPIN 329,CHAPIN 329‐1,Double,,CoEd,Spring General Housing Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 329,CHAPIN 329,CHAPIN 329‐2,Double,,CoEd,Spring General Housing Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 330,CHAPIN 330,CHAPIN 330‐1,Double,,CoEd,Spring General Housing Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 330,CHAPIN 330,CHAPIN 330‐2,Double,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 1,DIMAN 115,DIMAN 115,DIMAN 115‐1,Triple,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 1,DIMAN 115,DIMAN 115,DIMAN 115‐2,Triple,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 1,DIMAN 115,DIMAN 115,DIMAN 115‐3,Triple,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 1,DIMAN 127,DIMAN 127,DIMAN 127‐1,Double,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 1,DIMAN 127,DIMAN 127,DIMAN 127‐2,Double,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 1,DIMAN 128,DIMAN 128,DIMAN 128‐1,Double,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 1,DIMAN 128,DIMAN 128,DIMAN 128‐2,Double,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 2,DIMAN 215,DIMAN 215,DIMAN 215‐1,Triple,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 2,DIMAN 215,DIMAN 215,DIMAN 215‐2,Triple,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 2,DIMAN 215,DIMAN 215,DIMAN 215‐3,Triple,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 2,DIMAN 231,DIMAN 231,DIMAN 231‐2,Double,,Female,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 3,DIMAN 302,DIMAN 302,DIMAN 302‐1,Double,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 3,DIMAN 302,DIMAN 302,DIMAN 302‐2,Double,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 3,DIMAN 317,DIMAN 317,DIMAN 317‐1,Double,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 3,DIMAN 317,DIMAN 317,DIMAN 317‐2,Double,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 3,DIMAN 321,DIMAN 321,DIMAN 321‐1,Double,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 3,DIMAN 321,DIMAN 321,DIMAN 321‐2,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 1,GODDARD 127,GODDARD 127,GODDARD 127‐1,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 1,GODDARD 127,GODDARD 127,GODDARD 127‐2,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 2,GODDARD 201,GODDARD 201,GODDARD 201‐1,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 2,GODDARD 201,GODDARD 201,GODDARD 201‐2,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 2,GODDARD 202,GODDARD 202,GODDARD 202‐1,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 2,GODDARD 202,GODDARD 202,GODDARD 202‐2,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 2,GODDARD 223,GODDARD 223,GODDARD 223‐1,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 2,GODDARD 223,GODDARD 223,GODDARD 223‐2,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 2,GODDARD 227,GODDARD 227,GODDARD 227‐1,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 2,GODDARD 227,GODDARD 227,GODDARD 227‐2,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 1,GODDARD 242,GODDARD 242,GODDARD 242‐1,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 1,GODDARD 242,GODDARD 242,GODDARD 242‐2,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 1,GODDARD 244A,GODDARD 244A,GODDARD 244A‐1,Single,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 1,GODDARD 244B,GODDARD 244B,GODDARD 244B‐1,Single,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 1,GODDARD 245,GODDARD 245,GODDARD 245‐1,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 1,GODDARD 245,GODDARD 245,GODDARD 245‐2,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 1,GODDARD 247,GODDARD 247,GODDARD 247‐1,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 1,GODDARD 247,GODDARD 247,GODDARD 247‐2,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 3,GODDARD 301,GODDARD 301,GODDARD 301‐1,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 3,GODDARD 301,GODDARD 301,GODDARD 301‐2,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 3,GODDARD 302,GODDARD 302,GODDARD 302‐1,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 3,GODDARD 302,GODDARD 302,GODDARD 302‐2,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 3,GODDARD 306A,GODDARD 306A,GODDARD 306A‐1,Single,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 3,GODDARD 306B,GODDARD 306B,GODDARD 306B‐1,Single,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 3,GODDARD 313,GODDARD 313,GODDARD 313‐1,Single,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 3,GODDARD 317,GODDARD 317,GODDARD 317‐1,Single,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 3,GODDARD 327,GODDARD 327,GODDARD 327‐1,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 3,GODDARD 327,GODDARD 327,GODDARD 327‐2,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 2,GODDARD 330,GODDARD 330,GODDARD 330‐1,Single,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 2,GODDARD 335,GODDARD 335,GODDARD 335‐1,Single,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 2,GODDARD 348,GODDARD 348,GODDARD 348‐1,Double,,CoEd,Spring General Housing Selection
GODDARD HOUSE,GODDARD FL 2,GODDARD 348,GODDARD 348,GODDARD 348‐2,Double,,CoEd,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 1,GRADCTR B 120,GRADCTR B 120 122,GRADCTR B 120 122‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 1,GRADCTR B 140,GRADCTR B 140 142,GRADCTR B 140 142‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 1,GRADCTR B 140,GRADCTR B 140 143,GRADCTR B 140 143‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 1,GRADCTR B 140,GRADCTR B 140 144,GRADCTR B 140 144‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 1,GRADCTR B 140,GRADCTR B 140 145,GRADCTR B 140 145‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 2,GRADCTR B 210,GRADCTR B 210 214,GRADCTR B 210 214‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 2,GRADCTR B 210,GRADCTR B 210 215,GRADCTR B 210 215‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 2,GRADCTR B 230,GRADCTR B 230 233,GRADCTR B 230 233‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 2,GRADCTR B 230,GRADCTR B 230 234,GRADCTR B 230 234‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 2,GRADCTR B 230,GRADCTR B 230 235,GRADCTR B 230 235‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 2,GRADCTR B 240,GRADCTR B 240 242,GRADCTR B 240 242‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 2,GRADCTR B 240,GRADCTR B 240 244,GRADCTR B 240 244‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 2,GRADCTR B 240,GRADCTR B 240 245,GRADCTR B 240 245‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 3,GRADCTR B 330,GRADCTR B 330 332,GRADCTR B 330 332‐1,Single (Suite/Apartment),4.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 4,GRADCTR B 420,GRADCTR B 420 422,GRADCTR B 420 422‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 4,GRADCTR B 430,GRADCTR B 430 433,GRADCTR B 430 433‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 4,GRADCTR B 430,GRADCTR B 430 435,GRADCTR B 430 435‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 5,GRADCTR B 510,GRADCTR B 510 514,GRADCTR B 510 514‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 5,GRADCTR B 510,GRADCTR B 510 515,GRADCTR B 510 515‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 5,GRADCTR B 510,GRADCTR B 510 516,GRADCTR B 510 516‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 5,GRADCTR B 520,GRADCTR B 520 522,GRADCTR B 520 522‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 5,GRADCTR B 520,GRADCTR B 520 523,GRADCTR B 520 523‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 5,GRADCTR B 520,GRADCTR B 520 524,GRADCTR B 520 524‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 5,GRADCTR B 520,GRADCTR B 520 525,GRADCTR B 520 525‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 5,GRADCTR B 540,GRADCTR B 540 543,GRADCTR B 540 543‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 5,GRADCTR B 540,GRADCTR B 540 544,GRADCTR B 540 544‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 5,GRADCTR B 540,GRADCTR B 540 545,GRADCTR B 540 545‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 6,GRADCTR B 610,GRADCTR B 610 613,GRADCTR B 610 613‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 6,GRADCTR B 610,GRADCTR B 610 615,GRADCTR B 610 615‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 6,GRADCTR B 610,GRADCTR B 610 616,GRADCTR B 610 616‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 6,GRADCTR B 630,GRADCTR B 630 634,GRADCTR B 630 634‐1,Single (Suite/Apartment),6.0,Male,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 6,GRADCTR B 630,GRADCTR B 630 635,GRADCTR B 630 635‐1,Single (Suite/Apartment),6.0,Male,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 6,GRADCTR B 640,GRADCTR B 640 643,GRADCTR B 640 643‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 6,GRADCTR B 640,GRADCTR B 640 644,GRADCTR B 640 644‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER B,GRADCTR B FL 6,GRADCTR B 640,GRADCTR B 640 645,GRADCTR B 640 645‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 1,GRADCTR D 120,GRADCTR D 120 124,GRADCTR D 120 124‐1,Single (Suite/Apartment),4.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 1,GRADCTR D 140,GRADCTR D 140 143,GRADCTR D 140 143‐1,Single (Suite/Apartment),4.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 1,GRADCTR D 140,GRADCTR D 140 144,GRADCTR D 140 144‐1,Single (Suite/Apartment),4.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 1,GRADCTR D 140,GRADCTR D 140 145,GRADCTR D 140 145‐1,Single (Suite/Apartment),4.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 210,GRADCTR D 210 211,GRADCTR D 210 211‐1,Single (Suite/Apartment),4.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 210,GRADCTR D 210 212,GRADCTR D 210 212‐1,Single (Suite/Apartment),4.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 220,GRADCTR D 220 221,GRADCTR D 220 221‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 220,GRADCTR D 220 222,GRADCTR D 220 222‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 220,GRADCTR D 220 223,GRADCTR D 220 223‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 220,GRADCTR D 220 224,GRADCTR D 220 224‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 220,GRADCTR D 220 225,GRADCTR D 220 225‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 220,GRADCTR D 220 226,GRADCTR D 220 226‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 230,GRADCTR D 230 231,GRADCTR D 230 231‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 230,GRADCTR D 230 232,GRADCTR D 230 232‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 230,GRADCTR D 230 233,GRADCTR D 230 233‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 230,GRADCTR D 230 234,GRADCTR D 230 234‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 230,GRADCTR D 230 235,GRADCTR D 230 235‐1,Single (Suite/Apartment),5.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 240,GRADCTR D 240 241,GRADCTR D 240 241‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 240,GRADCTR D 240 242,GRADCTR D 240 242‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 240,GRADCTR D 240 243,GRADCTR D 240 243‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
GRAD CENTER D,GRADCTR D FL 2,GRADCTR D 240,GRADCTR D 240 244,GRADCTR D 240 244‐1,Single (Suite/Apartment),6.0,DynamicGender,Spring General Housing Selection
